anio,conglome,viession,hoession,ubigeo,departamento,provincia,dominio,mieperho,factor07,factor_pob,gashog2d,gasto_pc,linea,linpe,pobre,pobre_extremo,categoria_pobreza,inghog1d
2024,414,5,2,250101,25,2501,Sierra rural,3,1535.9620609007745,4607.886182702324,13325.384975103592,370.1495826417665,405.23225245430694,244.57690899609,1,0,Pobre no extremo,15000.343292426161
2025,151,1,4,040101,04,0401,Costa rural,3,1650.6424702053955,4951.9274106161865,45588.98319213621,1266.360644226006,462.95292493824854,210.45348193892937,0,0,No pobre,47812.32013128176
2023,400,3,2,150132,15,1501,Sierra urbana,7,517.4333825027629,3622.0336775193405,26170.31788970884,311.55140344891475,418.06444239594344,268.00199475133854,1,0,Pobre no extremo,111373.4043366833
2025,270,18,3,250101,25,2501,Costa rural,4,1484.8955146845237,5939.582058738095,4748.21533018586,98.92115271220541,425.0723803390804,262.9141401596219,1,1,Pobre extremo,9468.128445929122
2025,458,9,3,010201,01,0102,Lima Metropolitana,4,775.034854924353,3100.139419697412,93306.62825839336,1943.8880887165285,464.29647377801183,266.47079942620263,0,0,No pobre,66320.91806776947
2022,71,14,1,050101,05,0501,Selva urbana,4,1367.005043179959,5468.020172719836,39806.61336099118,829.3044450206495,388.77906257188425,207.43147143078957,0,0,No pobre,25398.207438815265
2023,493,17,4,150101,15,1501,Lima Metropolitana,7,331.84128439923205,2322.8889907946245,17815.659460046478,212.09118404817235,439.4617853091049,234.16254679979343,1,1,Pobre extremo,84742.9015069156
2023,180,14,4,130101,13,1301,Sierra urbana,5,1440.6145021225784,7203.072510612892,19875.680724751728,331.2613454125288,437.82156813730376,211.56725968988627,1,0,Pobre no extremo,52521.03762342182
2023,124,4,1,210101,21,2101,Lima Metropolitana,3,1947.0046830114811,5841.014049034444,8907.881217564533,247.44114493234812,422.5214569266675,242.02488855482164,1,0,Pobre no extremo,23916.60819189685
2025,381,5,4,250101,25,2501,Lima Metropolitana,3,182.84069410556089,548.5220823166826,25433.536982740596,706.487138409461,462.9774641424093,216.29173788633048,0,0,No pobre,33065.397390726976
2024,293,17,2,050101,05,0501,Costa urbana,2,278.274912217461,556.549824434922,49665.3169316629,2069.388205485954,474.2890061335693,253.94416883582795,0,0,No pobre,5782.358596188189
2023,285,2,2,130101,13,1301,Selva rural,4,334.9098579422264,1339.6394317689055,129369.21363787938,2695.191950789154,426.53358619136105,245.08018204547673,0,0,No pobre,86682.1010109769
2025,195,5,3,050101,05,0501,Sierra rural,2,918.0714193884723,1836.1428387769447,24839.57918058018,1034.9824658575073,425.61470509983997,240.0123216001088,0,0,No pobre,242756.57712346994
2022,399,4,2,200101,20,2001,Sierra urbana,3,652.482351372802,1957.447054118406,28115.489912414527,780.9858309004035,430.20637296707446,257.7659010575731,0,0,No pobre,21088.963416813884
2024,228,4,4,200101,20,2001,Callao,6,1633.148291727318,9798.88975036391,78689.73406813729,1092.9129731685734,452.31240308330615,235.01911215844643,0,0,No pobre,34966.9256523121
2022,431,6,1,040101,04,0401,Callao,3,1000.195754481827,3000.587263445481,9481.207185848127,263.3668662735591,446.8060290698962,218.88962182419792,1,0,Pobre no extremo,174978.4475151376
2024,430,13,3,010101,01,0101,Callao,4,1020.6209511082496,4082.4838044329986,30670.43759594544,638.96744991553,402.2834949206887,243.44938477600616,0,0,No pobre,6036.546786061124
2025,436,5,1,150101,15,1501,Callao,3,1462.372392518172,4387.117177554516,13621.052693462934,378.3625748184148,386.3895348599343,266.9943842538464,1,0,Pobre no extremo,60093.30906336507
2021,275,7,3,010201,01,0102,Sierra urbana,2,787.7410668179168,1575.4821336358336,30274.0437085961,1261.4184878581707,474.92541298167896,242.0811554340944,0,0,No pobre,193630.60700109618
2024,461,1,3,010201,01,0102,Sierra rural,3,771.0937700988807,2313.281310296642,62509.41819530489,1736.372727647358,406.1069759733704,244.07336143276015,0,0,No pobre,19344.57962341256
2022,106,14,1,040101,04,0401,Lima Metropolitana,3,1538.1601364922128,4614.480409476639,6081.760943671654,168.93780399087927,443.85966846905916,265.4325476881765,1,1,Pobre extremo,21120.769205485998
2025,21,4,2,200101,20,2001,Costa urbana,6,1582.079317089853,9492.475902539118,73133.82249880963,1015.7475347056893,462.84380027437226,236.06925702154214,0,0,No pobre,137099.91765660554
2024,64,17,2,040101,04,0401,Costa rural,3,127.35766781235708,382.07300343707124,37186.96310500991,1032.9711973613864,410.0276750547186,269.74502232003545,0,0,No pobre,12194.907161532214
2021,165,14,2,150132,15,1501,Costa rural,3,373.20190409739274,1119.6057122921782,30513.29906627486,847.5916407298572,443.54334136569287,211.17634304731527,0,0,No pobre,85986.19532540184
2021,27,16,2,250101,25,2501,Lima Metropolitana,5,504.8865441821116,2524.432720910558,90345.78998968228,1505.7631664947046,390.7900241149225,237.59278901086242,0,0,No pobre,52865.45398294804
2023,311,14,1,250101,25,2501,Lima Metropolitana,5,768.040890639965,3840.2044531998254,13205.645409897626,220.09409016496045,476.99314443756606,214.9030588710067,1,0,Pobre no extremo,113022.03874771843
2023,285,16,4,210101,21,2101,Selva rural,5,653.7513585207108,3268.756792603554,8056.006928221729,134.26678213702883,385.8158275050626,231.7328457838485,1,1,Pobre extremo,31968.411851539055
2022,148,8,3,200101,20,2001,Callao,7,1370.1880919377254,9591.316643564078,10700.191689790294,127.3832344022654,423.81746738409765,211.94017366512378,1,1,Pobre extremo,168684.9129947607
2024,281,3,1,010101,01,0101,Sierra urbana,5,1673.4569442256204,8367.284721128102,43453.0256688959,724.2170944815983,433.68192420600235,215.57701400680642,0,0,No pobre,24711.9772376636
2024,326,19,2,150132,15,1501,Sierra rural,3,464.96526647644595,1394.8957994293378,17232.17202683551,478.67144518987527,459.0481778663364,214.75600347425845,0,0,No pobre,8320.30550192004
2023,319,1,2,150132,15,1501,Lima Metropolitana,5,1169.6621151437018,5848.310575718509,12256.580274025466,204.27633790042444,392.1128517072421,222.40219373168057,1,1,Pobre extremo,7778.264795006234
2024,164,2,1,200101,20,2001,Lima Metropolitana,4,798.8508770539684,3195.4035082158734,11163.251421909008,232.56773795643767,424.08079738551766,209.42235241631855,1,0,Pobre no extremo,12189.33861188648
2024,386,15,3,250101,25,2501,Selva urbana,3,1060.9779625875176,3182.933887762553,31485.478382659567,874.5966217405435,409.97115695434525,256.65395224825113,0,0,No pobre,71417.26773203009
2021,406,10,1,130101,13,1301,Costa urbana,3,1279.4398993884483,3838.319698165345,26244.57872333945,729.0160756483181,411.201071569334,215.44729181045494,0,0,No pobre,17135.69981215979
2023,224,18,1,250101,25,2501,Costa rural,3,1797.839655495821,5393.518966487463,7503.217475314667,208.42270764762964,457.8787916065251,229.15982966003625,1,1,Pobre extremo,35635.70873980223
2025,272,14,4,210101,21,2101,Costa urbana,2,465.3560688718334,930.7121377436667,7731.996748158801,322.1665311732834,380.5460945031833,201.1239996761017,1,0,Pobre no extremo,39768.81467294066
2023,146,17,1,210101,21,2101,Costa urbana,2,265.31251540651465,530.6250308130293,16744.250082056984,697.6770867523743,454.90836413359665,207.34170802972474,0,0,No pobre,16735.330375102356
2025,453,13,4,200101,20,2001,Selva rural,2,1291.7026461861697,2583.4052923723393,61468.71513029288,2561.1964637622036,461.0398430123106,262.7390330289276,0,0,No pobre,42459.98647079039
2021,438,1,3,150101,15,1501,Callao,6,848.8486126679903,5093.091676007942,18337.3653967406,254.6856305102861,470.1362243842069,258.6012142688312,1,1,Pobre extremo,93056.15184318533
2022,356,5,1,150101,15,1501,Costa urbana,6,409.51511725667825,2457.0907035400696,7123.581700717018,98.9386347321808,442.68818032304836,258.86457167186364,1,1,Pobre extremo,37637.328391964795
2024,30,13,1,010101,01,0101,Sierra rural,4,322.4656179742049,1289.8624718968197,24885.549625783602,518.4489505371583,413.34553282722413,228.79473920784,0,0,No pobre,90985.93305233627
2021,45,14,2,150101,15,1501,Selva rural,5,1161.9285950606566,5809.642975303283,27840.42988489774,464.0071647482957,422.72347325488704,209.90715591961649,0,0,No pobre,24905.1684182697
2024,275,3,1,050101,05,0501,Lima Metropolitana,2,670.8941296035716,1341.7882592071433,7068.827427027109,294.5344761261295,476.97360822874293,207.55261650460213,1,0,Pobre no extremo,47361.40914461018
2022,471,15,2,050101,05,0501,Sierra rural,6,1995.110121213358,11970.660727280148,8991.07100822625,124.87598622536458,468.1186826435852,242.39219073605008,1,1,Pobre extremo,40020.45096158177
2022,34,19,2,010201,01,0102,Selva rural,4,871.2115567283565,3484.846226913426,52551.270089265876,1094.8181268597057,426.3525909099442,257.9735278436041,0,0,No pobre,106274.89769924559
2021,141,17,2,050101,05,0501,Sierra rural,2,503.3445566538471,1006.6891133076942,8889.401345951026,370.3917227479594,474.30630071109226,263.008013749817,1,0,Pobre no extremo,55528.40676847896
2022,427,3,3,130101,13,1301,Selva rural,2,1294.8131857228277,2589.6263714456554,54582.819564246965,2274.2841485102904,462.2954875406459,220.21121553921586,0,0,No pobre,19110.45899935949
2025,318,16,4,130101,13,1301,Selva rural,3,564.0842904119631,1692.2528712358894,6687.134669831001,185.7537408286389,470.1089861659795,222.47185988834175,1,1,Pobre extremo,59151.65682916303
2022,374,14,2,130101,13,1301,Sierra urbana,1,1038.7634821392062,1038.7634821392062,6915.562339890933,576.2968616575778,448.2977234575921,207.06136598029974,0,0,No pobre,13956.744575489192
2024,221,12,1,050101,05,0501,Sierra rural,3,1016.894749069914,3050.6842472097424,27469.508727698456,763.0419091027348,465.7654043461995,254.20868524876084,0,0,No pobre,54387.84975381707
2024,356,12,1,010101,01,0101,Sierra urbana,2,961.7594964599007,1923.5189929198013,13640.86903369544,568.3695430706433,469.17661413343257,219.29831897847973,0,0,No pobre,35221.279690379655
2024,22,11,2,250101,25,2501,Lima Metropolitana,3,1612.5628229121924,4837.688468736577,16625.508649138017,461.81968469827825,389.2016584540671,233.66506286944008,0,0,No pobre,42190.40555190518
2024,180,17,2,200101,20,2001,Callao,3,511.5647027857494,1534.694108357248,30837.592015345883,856.5997782040523,476.52169766606585,265.02281131701824,0,0,No pobre,34890.04600369075
2025,436,8,1,040101,04,0401,Callao,7,1818.1838796338932,12727.287157437253,16191.957414729128,192.76139779439438,413.3613098764063,252.65510112274558,1,1,Pobre extremo,19753.84650479761
2023,367,17,2,010201,01,0102,Selva rural,3,1603.5469561057153,4810.640868317146,11460.619433775655,318.35053982710156,423.98995095833556,203.691652740235,1,0,Pobre no extremo,17451.948983426606
2021,420,11,4,210101,21,2101,Callao,3,732.9324920623151,2198.7974761869455,41833.52604671138,1162.0423901864272,459.1903759192815,200.57082161216007,0,0,No pobre,107002.41028065112
